CVEGEO,Estatus,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LATITUD,LONGITUD,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
210010001,,21,Puebla,Pue.,1,Acajete,1,Acajete,U,"19°06´17.785N""","097°57´09.774W""",19.10494,-97.952715,2439,E14B44,13922,6756,7166,2999
210010002,,21,Puebla,Pue.,1,Acajete,2,Acultzingo,R,"19°10´24.881N""","097°57´52.156W""",19.173577,-97.964488,2797,E14B44,1,*,*,1
210010003,,21,Puebla,Pue.,1,Acajete,3,La Cardenista (Colonia Lázaro Cárdenas),R,"19°10´04.769N""","097°56´23.861W""",19.167991,-97.939961,2640,E14B44,370,169,201,71
210010004,,21,Puebla,Pue.,1,Acajete,4,La Magdalena Tetela Morelos,U,"19°02´56.815N""","097°56´29.333W""",19.049115,-97.941481,2307,E14B44,7613,3645,3968,1639
210010005,,21,Puebla,Pue.,1,Acajete,5,Cuautenco (La Cañería),R,"19°09´44.940N""","097°57´36.782W""",19.162483,-97.960217,2710,E14B44,58,23,35,11
210010006,,21,Puebla,Pue.,1,Acajete,6,San Agustín Tlaxco,U,"19°03´30.042N""","097°59´35.286W""",19.058345,-97.993135,2337,E14B44,6995,3344,3651,1523
210010007,,21,Puebla,Pue.,1,Acajete,7,San Antonio Tlacamilco,R,"19°03´43.576N""","097°55´54.528W""",19.062104,-97.931813,2332,E14B44,2179,1017,1162,454
210010008,,21,Puebla,Pue.,1,Acajete,8,San Bartolo Pinal,R,"19°09´37.769N""","097°56´06.285W""",19.160491,-97.935079,2582,E14B44,530,249,281,101
210010009,,21,Puebla,Pue.,1,Acajete,9,San Bernardino Citlaltépetl,R,"19°05´19.751N""","097°55´16.291W""",19.088819,-97.921191,2354,E14B44,46,22,24,8
210010010,,21,Puebla,Pue.,1,Acajete,10,San Javier,R,"19°07´29.987N""","097°56´55.243W""",19.124996,-97.948678,2500,E14B44,114,60,54,20
210010011,,21,Puebla,Pue.,1,Acajete,11,San Jerónimo Ocotitlán,U,"19°01´57.864N""","097°57´46.656W""",19.032739,-97.96296,2286,E14B44,5560,2641,2919,1234
210010013,,21,Puebla,Pue.,1,Acajete,13,San Martín la Joya,R,"19°06´17.854N""","097°55´07.292W""",19.104959,-97.918692,2404,E14B44,14,6,8,3
210010015,,21,Puebla,Pue.,1,Acajete,15,Santa Isabel Tepetzala,U,"19°06´43.739N""","097°56´23.521W""",19.11215,-97.939867,2440,E14B44,11507,5538,5969,2336
210010016,,21,Puebla,Pue.,1,Acajete,16,Santa María Nenetzintla,U,"19°03´19.690N""","097°58´00.905W""",19.055469,-97.966917,2319,E14B44,4667,2169,2498,1012
210010017,,21,Puebla,Pue.,1,Acajete,17,San Juan Tepulco,U,"19°07´02.577N""","097°59´17.348W""",19.117382,-97.988152,2576,E14B44,10288,5054,5234,1936
210010018,,21,Puebla,Pue.,1,Acajete,18,Buenavista,R,"19°05´29.638N""","097°54´31.073W""",19.091566,-97.908631,2437,E14B44,39,20,19,10
210010020,,21,Puebla,Pue.,1,Acajete,20,San Carlos,R,"19°01´56.904N""","097°58´49.459W""",19.032473,-97.980405,2287,E14B44,9,*,*,1
210010021,,21,Puebla,Pue.,1,Acajete,21,Nuestra Señora del Monte,R,"19°09´52.924N""","097°58´23.369W""",19.164701,-97.973157,2781,E14B44,70,31,39,14
210010024,,21,Puebla,Pue.,1,Acajete,24,Apango de Zaragoza,U,"19°04´03.851N""","097°56´28.158W""",19.067736,-97.941155,2337,E14B44,3032,1500,1532,627
210010025,,21,Puebla,Pue.,1,Acajete,25,El Atorón,R,"19°05´12.379N""","097°53´57.214W""",19.086772,-97.899226,2404,E14B44,0,0,0,0
210010026,,21,Puebla,Pue.,1,Acajete,26,La Providencia,R,"19°08´49.071N""","097°56´04.339W""",19.146964,-97.934538,2527,E14B44,207,97,110,49
210010027,,21,Puebla,Pue.,1,Acajete,27,Santa Bárbara (Salsipuedes),R,"19°05´42.626N""","097°54´01.031W""",19.095174,-97.900286,2455,E14B44,0,0,0,0
210010033,,21,Puebla,Pue.,1,Acajete,33,Tlacamilco,U,"19°04´23.590N""","097°55´19.850W""",19.073219,-97.92218,2342,E14B44,3583,1754,1829,748
210010034,,21,Puebla,Pue.,1,Acajete,34,Coyultepeme,R,"19°11´21.754N""","097°58´34.069W""",19.189376,-97.97613,2953,E14B44,0,0,0,0
210010035,,21,Puebla,Pue.,1,Acajete,35,Cristo Rey,R,"19°07´50.291N""","097°55´29.047W""",19.130636,-97.924735,2395,E14B44,133,66,67,31
210010036,,21,Puebla,Pue.,1,Acajete,36,El Potrero,R,"19°06´51.671N""","097°59´57.112W""",19.114353,-97.999197,2567,E14B44,86,40,46,16
210010038,,21,Puebla,Pue.,1,Acajete,38,San Antonio Conocido,R,"19°07´57.423N""","097°56´30.807W""",19.132617,-97.941891,2512,E14B44,54,31,23,4
210010040,,21,Puebla,Pue.,1,Acajete,40,El Tetelito,R,"19°07´54.719N""","097°57´12.691W""",19.131866,-97.953525,2537,E14B44,13,6,7,3
210010041,,21,Puebla,Pue.,1,Acajete,41,El Temazcalito,R,"19°08´16.000N""","097°56´17.000W""",19.137777,-97.938055,2613,E14B44,0,0,0,0
210010042,,21,Puebla,Pue.,1,Acajete,42,San Juanico,R,"19°05´56.116N""","097°53´38.165W""",19.098921,-97.893934,2464,E14B44,4,*,*,1
210010043,,21,Puebla,Pue.,1,Acajete,43,San José el Tintero,R,"19°09´54.060N""","097°54´39.284W""",19.165017,-97.910912,2604,E14B44,151,68,83,29
210010044,,21,Puebla,Pue.,1,Acajete,44,La Tronquera,R,"19°07´41.417N""","097°56´36.792W""",19.128171,-97.943553,2502,E14B44,8,*,*,2
210010045,,21,Puebla,Pue.,1,Acajete,45,El Callejón,R,"19°07´11.700N""","097°55´33.893W""",19.119916,-97.926081,2440,E14B44,87,45,42,22
210010046,,21,Puebla,Pue.,1,Acajete,46,San Bernardino,R,"19°05´53.970N""","097°55´41.004W""",19.098325,-97.928056,2389,E14B44,27,11,16,5
210010047,,21,Puebla,Pue.,1,Acajete,47,El Rincón (Barrio Nuevo),R,"19°02´21.331N""","097°56´00.880W""",19.039258,-97.933577,2298,E14B44,60,28,32,14
210010048,,21,Puebla,Pue.,1,Acajete,48,Santa Cruz Buenos Aires,R,"19°03´38.184N""","097°57´32.575W""",19.060607,-97.959049,2324,E14B44,31,12,19,6
210010049,,21,Puebla,Pue.,1,Acajete,49,San José Sección Quinta,R,"19°07´33.668N""","097°56´20.499W""",19.126018,-97.939027,2481,E14B44,329,169,160,70
210010050,,21,Puebla,Pue.,1,Acajete,50,El Rayito,R,"19°07´55.584N""","097°56´06.781W""",19.132106,-97.935217,2482,E14B44,10,6,4,3
210010051,,21,Puebla,Pue.,1,Acajete,51,Santa Cruz Buenos Aires,R,"19°04´12.487N""","097°58´04.255W""",19.070135,-97.967848,2356,E14B44,143,61,82,23
210010052,,21,Puebla,Pue.,1,Acajete,52,El Mirador,R,"19°08´19.476N""","097°56´51.351W""",19.138743,-97.947597,2551,E14B44,6,*,*,1
210010053,,21,Puebla,Pue.,1,Acajete,53,Santa María Nenetzintla,R,"19°03´42.511N""","097°58´05.193W""",19.061809,-97.968109,2337,E14B44,0,0,0,0
